2026-07-31 15:01:16 [INFO] === baseline_reformer  run_dir=C:\Users\user\Desktop\ansyu_li\tree_former\runs\20260731_143558 ===
2026-07-31 15:01:16 [INFO] Device: cuda
2026-07-31 15:01:16 [INFO] 
============================================================
  All-Grid Reformer (Base)
============================================================
2026-07-31 15:01:16 [INFO]   Params: 23.4K
2026-07-31 15:39:29 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch   4/100 | Train: 0.12212 | Val: 0.12667 | elapsed 148.4s | GPU 42/24564MB
2026-07-31 15:40:07 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch   5/100 | Train: 0.12119 | Val: 0.12356 <- best | elapsed 185.5s | GPU 42/24564MB
2026-07-31 15:40:44 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch   6/100 | Train: 0.11925 | Val: 0.12120 <- best | elapsed 222.5s | GPU 42/24564MB
2026-07-31 15:41:21 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch   7/100 | Train: 0.11819 | Val: 0.11976 <- best | elapsed 259.6s | GPU 42/24564MB
2026-07-31 15:41:58 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch   8/100 | Train: 0.11767 | Val: 0.12992 | elapsed 296.7s | GPU 42/24564MB
2026-07-31 15:42:35 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch   9/100 | Train: 0.11836 | Val: 0.11930 <- best | elapsed 333.7s | GPU 42/24564MB
2026-07-31 15:43:12 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  10/100 | Train: 0.11579 | Val: 0.12407 | elapsed 370.6s | GPU 42/24564MB
2026-07-31 15:43:49 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  11/100 | Train: 0.11586 | Val: 0.12039 | elapsed 407.5s | GPU 42/24564MB
2026-07-31 15:44:25 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  12/100 | Train: 0.11545 | Val: 0.12265 | elapsed 444.3s | GPU 42/24564MB
2026-07-31 15:45:02 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  13/100 | Train: 0.11562 | Val: 0.12633 | elapsed 481.2s | GPU 42/24564MB
2026-07-31 15:45:39 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  14/100 | Train: 0.11497 | Val: 0.11814 <- best | elapsed 518.0s | GPU 42/24564MB
2026-07-31 15:46:16 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  15/100 | Train: 0.11402 | Val: 0.11720 <- best | elapsed 555.0s | GPU 42/24564MB
2026-07-31 15:46:53 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  16/100 | Train: 0.11351 | Val: 0.11915 | elapsed 592.1s | GPU 42/24564MB
2026-07-31 15:47:30 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  17/100 | Train: 0.11299 | Val: 0.11835 | elapsed 629.2s | GPU 42/24564MB
2026-07-31 15:48:07 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  18/100 | Train: 0.11335 | Val: 0.11893 | elapsed 666.3s | GPU 42/24564MB
2026-07-31 15:48:44 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  19/100 | Train: 0.11358 | Val: 0.12404 | elapsed 703.4s | GPU 42/24564MB
2026-07-31 15:49:21 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  20/100 | Train: 0.11302 | Val: 0.12146 | elapsed 740.4s | GPU 42/24564MB
2026-07-31 15:49:58 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  21/100 | Train: 0.11308 | Val: 0.11668 <- best | elapsed 777.5s | GPU 42/24564MB
2026-07-31 15:50:36 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  22/100 | Train: 0.11234 | Val: 0.11823 | elapsed 814.5s | GPU 42/24564MB
2026-07-31 15:51:13 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  23/100 | Train: 0.11192 | Val: 0.11705 | elapsed 851.6s | GPU 42/24564MB
2026-07-31 15:51:50 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  24/100 | Train: 0.11154 | Val: 0.11545 <- best | elapsed 888.6s | GPU 42/24564MB
2026-07-31 15:52:27 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  25/100 | Train: 0.11133 | Val: 0.11635 | elapsed 925.6s | GPU 42/24564MB
2026-07-31 15:53:04 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  26/100 | Train: 0.11131 | Val: 0.11699 | elapsed 962.5s | GPU 42/24564MB
2026-07-31 15:53:40 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  27/100 | Train: 0.11087 | Val: 0.11605 | elapsed 999.4s | GPU 42/24564MB
2026-07-31 15:54:17 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  28/100 | Train: 0.11114 | Val: 0.12207 | elapsed 1036.4s | GPU 42/24564MB
2026-07-31 15:54:54 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  29/100 | Train: 0.11125 | Val: 0.11756 | elapsed 1073.3s | GPU 42/24564MB
2026-07-31 15:55:31 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  30/100 | Train: 0.11077 | Val: 0.11668 | elapsed 1110.3s | GPU 42/24564MB
2026-07-31 15:56:08 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  31/100 | Train: 0.11108 | Val: 0.11717 | elapsed 1147.3s | GPU 42/24564MB
2026-07-31 15:56:45 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  32/100 | Train: 0.11059 | Val: 0.11693 | elapsed 1184.2s | GPU 42/24564MB
2026-07-31 15:57:22 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  33/100 | Train: 0.11049 | Val: 0.11821 | elapsed 1221.1s | GPU 42/24564MB
2026-07-31 15:57:59 [INFO]   [All-Grid Reformer (Large) Retrain] Epoch  34/100 | Train: 0.10999 | Val: 0.11915 | elapsed 1258.1s | GPU 42/24564MB
2026-07-31 15:57:59 [INFO]   [Early Stop] All-Grid Reformer (Large) Retrain epoch 34
2026-07-31 15:58:03 [INFO]   [Adapt] Retrain MAE on B+C = 56.1908
2026-07-31 15:58:03 [INFO] === baseline_reformer complete ===
