2026-07-31 14:36:17 [INFO] === baseline_lstm  run_dir=C:\Users\user\Desktop\ansyu_li\tree_former\runs\20260731_143558 ===
2026-07-31 14:36:17 [INFO] Device: cuda
2026-07-31 14:36:17 [INFO] 
============================================================
  Each-Grid LSTM (Small)
============================================================
2026-07-31 14:36:17 [INFO]   Params: 369.9K
2026-07-31 14:38:46 [INFO]   [Each-Grid LSTM (Small)] Epoch  85/100 | Train: 0.06940 | Val: 0.09418 | elapsed 148.7s | GPU 24/24564MB
2026-07-31 14:38:48 [INFO]   [Each-Grid LSTM (Small)] Epoch  86/100 | Train: 0.06928 | Val: 0.09433 | elapsed 150.4s | GPU 24/24564MB
2026-07-31 14:38:50 [INFO]   [Each-Grid LSTM (Small)] Epoch  87/100 | Train: 0.06922 | Val: 0.09428 | elapsed 152.4s | GPU 24/24564MB
2026-07-31 14:38:52 [INFO]   [Each-Grid LSTM (Small)] Epoch  88/100 | Train: 0.06906 | Val: 0.09430 | elapsed 154.0s | GPU 24/24564MB
2026-07-31 14:38:53 [INFO]   [Each-Grid LSTM (Small)] Epoch  89/100 | Train: 0.06898 | Val: 0.09429 | elapsed 155.7s | GPU 24/24564MB
2026-07-31 14:38:55 [INFO]   [Each-Grid LSTM (Small)] Epoch  90/100 | Train: 0.06887 | Val: 0.09401 | elapsed 157.4s | GPU 24/24564MB
2026-07-31 14:38:55 [INFO]   [Early Stop] Each-Grid LSTM (Small) epoch 90
2026-07-31 14:38:58 [INFO]   TEST MAE=46.5244  wMAPE=3.44%  Time=157.4s
2026-07-31 14:38:58 [INFO] 
============================================================
  Each-Grid LSTM (Base)
============================================================
2026-07-31 14:38:58 [INFO]   Params: 1353.9K
2026-07-31 14:38:59 [INFO]   [Each-Grid LSTM (Base)] Epoch   1/100 | Train: 0.51391 | Val: 0.23798 <- best | elapsed 1.8s | GPU 43/24564MB
2026-07-31 14:39:01 [INFO]   [Each-Grid LSTM (Base)] Epoch   2/100 | Train: 0.15386 | Val: 0.14308 <- best | elapsed 3.4s | GPU 43/24564MB
2026-07-31 14:39:03 [INFO]   [Each-Grid LSTM (Base)] Epoch   3/100 | Train: 0.11390 | Val: 0.12043 <- best | elapsed 5.0s | GPU 43/24564MB
